,phrase,funny count,percent funny
1044,man say to,41,1.0
1045,told me my,41,1.0
1046,someone asked me,41,1.0
1047,of seven because,41,1.0
1048,girlfriend asked me,41,1.0
1049,well i can,41,1.0
1050,every time a,41,1.0
1051,no legs ground,41,1.0
1052,when life gives,41,1.0
1053,of a vegetable,41,1.0
1054,you ever had,41,1.0
1055,between a feminist,40,1.0
1056,sex life is,40,1.0
1057,the f out,40,1.0
1058,the constipated mathematician,40,1.0
1059,babies does it,40,1.0
1060,i told a,40,1.0
1061,every time someone,40,1.0
1062,man walked into,40,1.0
1063,back in my,40,1.0
1064,the guinness book,40,1.0
1065,the new black,40,1.0
1066,wan na see,40,1.0
1067,neither have they,40,1.0
1068,it scares the,40,1.0
1069,when i grow,40,1.0
1070,why do girls,40,1.0
1071,call a fake,40,1.0
1072,stayed up all,40,1.0
1073,girlfriend said she,40,1.0
1074,arms knock knock,40,1.0
1075,and a garbanzo,40,1.0
1076,irishman walks out,40,1.0
1077,make holy water,40,1.0
1078,my girlfriend has,40,1.0
1079,lightbulb just one,40,1.0
1080,dog it is,40,1.0
1081,first the chicken,40,1.0
1082,a grilled cheese,40,1.0
1083,a pedophile and,40,1.0
1084,smell it but,40,1.0
1085,many germans does,40,1.0
1086,a bar then,40,1.0
1087,wan na watch,40,1.0
1088,you ever get,40,1.0
1089,road because it,40,1.0
1090,and sounds like,40,1.0
1091,do not judge,40,1.0
1092,asked me for,40,1.0
1093,eternal life but,40,1.0
1094,hey do you,40,1.0
1095,fun and games,40,1.0
1096,call an alligator,40,1.0
1097,not like my,40,1.0
1098,you hang up,40,1.0
1099,a bowling ball,40,1.0
1100,dumped his girlfriend,39,1.0
1101,in common if,39,1.0
1102,sleep with a,39,1.0
1103,is so stupid,39,1.0
1104,america grate again,39,1.0
1105,my wife a,39,1.0
1106,a lifetime ban,39,1.0
1107,library and asks,39,1.0
1108,a guy is,39,1.0
1109,in your jeans,39,1.0
1110,a little lighter,39,1.0
1111,looks like you,39,1.0
1112,drink named after,39,1.0
1113,he knows where,39,1.0
1114,black guy and,39,1.0
1115,i once had,39,1.0
1116,make me look,39,1.0
1117,only one but,39,1.0
1118,when your girlfriend,39,1.0
1119,what has legs,39,1.0
1120,the other replies,39,1.0
1121,in the guinness,39,1.0
1122,did the guy,39,1.0
1123,on the count,39,1.0
1124,just thought of,39,1.0
1125,starting to think,39,1.0
1126,im over here,39,1.0
1127,call a jewish,39,1.0
1128,a freudian slip,39,1.0
1129,a jewish girl,39,1.0
1130,do not blind,39,1.0
1131,not blind people,39,1.0
1132,why do elephants,39,1.0
1133,say after he,39,1.0
1134,the energizer bunny,39,1.0
1135,the flag is,39,1.0
1136,leper say to,39,1.0
1137,big word for,39,1.0
1138,of the oven,39,1.0
1139,front of my,39,1.0
1140,the alphabet i,39,1.0
1141,a grammar nazi,39,1.0
1142,into the bar,39,1.0
1143,waiter there is,39,1.0
1144,does a man,39,1.0
1145,about the kidnapping,39,1.0
1146,because the p,39,1.0
1147,happens if you,39,1.0
1148,a cold one,39,1.0
1149,a roman walks,39,1.0
1150,asked my friend,39,1.0
1151,a snowman and,39,1.0
1152,in a corner,39,1.0
1153,they are ugly,39,1.0
1154,has four legs,39,1.0
1155,bought some shoes,39,1.0
1156,vampire say to,39,1.0
1157,a frog in,39,1.0
1158,seven because seven,39,1.0
1159,jack off a,39,1.0
1160,whats the best,39,1.0
1161,i slept with,39,1.0
1162,never mind it,39,1.0
1163,joke i have,39,1.0
1164,my girlfriend to,39,1.0
1165,what comes after,39,1.0
1166,at me i,38,1.0
1167,wear denim denim,38,1.0
1168,make america grate,38,1.0
1169,implants one is,38,1.0
1170,for christmas cancer,38,1.0
1171,boob say to,38,1.0
1172,long story short,38,1.0
1173,zoo the other,38,1.0
1174,road because he,38,1.0
1175,of a lion,38,1.0
1176,lifetime ban from,38,1.0
1177,call a white,38,1.0
1178,what is et,38,1.0
1179,other day but,38,1.0
1180,and a zippo,38,1.0
1181,holy shit a,38,1.0
1182,and my girlfriend,38,1.0
1183,so much because,38,1.0
1184,why do cows,38,1.0
1185,did the girl,38,1.0
1186,q why are,38,1.0
1187,so i decided,38,1.0
1188,finding a worm,38,1.0
1189,because im trying,38,1.0
1190,not my fault,38,1.0
1191,lost my job,38,1.0
1192,nothing to go,38,1.0
1193,mad at me,38,1.0
1194,a mexican and,38,1.0
1195,only takes one,38,1.0
1196,someone stole my,38,1.0
1197,hey did you,38,1.0
1198,do you guys,38,1.0
1199,nail to hang,38,1.0
1200,a black jew,38,1.0
1201,elephant with a,38,1.0
1202,here the other,38,1.0
1203,my coffee how,38,1.0
1204,coffee how i,38,1.0
1205,in common it,38,1.0
1206,say hello from,38,1.0
1207,cause you are,38,1.0
1208,and says im,38,1.0
1209,a tight seal,38,1.0
1210,you use to,38,1.0
1211,waist of time,38,1.0
1212,not you tell,38,1.0
1213,why do jewish,38,1.0
1214,about the blonde,38,1.0
1215,why does santa,38,1.0
1216,a lightbulb it,38,1.0
1217,you drop a,38,1.0
1218,get hard i,38,1.0
1219,see yourself in,38,1.0
1220,i realized it,38,1.0
1221,and a pedophile,38,1.0
1222,pizza and a,38,1.0
1223,told my friend,38,1.0
1224,you confuse a,38,1.0
1225,why was six,38,1.0
1226,shut the fuck,38,1.0
1227,one tampon say,38,1.0
1228,year old son,38,1.0
1229,nothing they are,38,1.0
1230,do you spell,38,1.0
1231,dirty bus stop,38,1.0
1232,keep his armies,38,1.0
1233,he dumped his,37,1.0
1234,you should never,37,1.0
1235,your dog is,37,1.0
1236,breast implants one,37,1.0
1237,i made this,37,1.0
1238,peacefully in my,37,1.0
1239,et short for,37,1.0
1240,my obsession with,37,1.0
1241,where can you,37,1.0
1242,walk a mile,37,1.0
1243,i help you,37,1.0
1244,by a period,37,1.0
1245,is favorite kind,37,1.0
1246,did the doctor,37,1.0
1247,it just me,37,1.0
1248,whenever i see,37,1.0
1249,tell if your,37,1.0
1250,i shit you,37,1.0
1251,his tongue he,37,1.0
1252,of chocolates it,37,1.0
1253,come on guys,37,1.0
1254,what would the,37,1.0
1255,is there who,37,1.0
1256,dark humor is,37,1.0
1257,did harry potter,37,1.0
1258,in my garage,37,1.0
1259,doctor said i,37,1.0
1260,is favorite fruit,37,1.0
1261,get off me,37,1.0
1262,be a chicken,37,1.0
1263,why did jesus,37,1.0
1264,do you wan,37,1.0
1265,is hot in,37,1.0
1266,first one says,37,1.0
1267,why did adele,37,1.0
1268,joke butt fuck,37,1.0
1269,what do gay,37,1.0
1270,i saw my,37,1.0
1271,call a bear,37,1.0
1272,dawned on me,37,1.0
1273,always told me,37,1.0
1274,hard i just,37,1.0
1275,john come forth,37,1.0
1276,receive eternal life,37,1.0
1277,fifth and won,37,1.0
1278,are ugly and,37,1.0
1279,one nail to,37,1.0
1280,between a dead,37,1.0
1281,to be addicted,37,1.0
1282,be addicted to,37,1.0
1283,i heard you,37,1.0
1284,why is afraid,37,1.0
1285,is made of,37,1.0
1286,need you to,37,1.0
1287,wii u wii,37,1.0
1288,u wii u,37,1.0
1289,gon na need,36,1.0
1290,drums and a,36,1.0
1291,you over me,36,1.0
1292,my wife says,36,1.0
1293,warm for a,36,1.0
1294,with a yeast,36,1.0
1295,is et short,36,1.0
1296,dollars what do,36,1.0
1297,walks in on,36,1.0
1298,have a joke,36,1.0
1299,obscure number you,36,1.0
1300,died doing what,36,1.0
1301,he worked it,36,1.0
1302,the joke is,36,1.0
1303,shit a talking,36,1.0
1304,me this joke,36,1.0
1305,bartender looks up,36,1.0
1306,the priest says,36,1.0
1307,an apple a,36,1.0
1308,helen keller is,36,1.0
1309,like a penis,36,1.0
1310,can you fit,36,1.0
1311,and a table,36,1.0
1312,what is yellow,36,1.0
1313,are you an,36,1.0
1314,make an octopus,36,1.0
1315,an octopus laugh,36,1.0
1316,so i heard,36,1.0
1317,gay bar one,36,1.0
1318,what has two,36,1.0
1319,no arms or,36,1.0
1320,gives it to,36,1.0
1321,your dad is,36,1.0
1322,an irish man,36,1.0
1323,have a lentil,36,1.0
1324,when you drop,36,1.0
1325,much on technology,36,1.0
1326,are just like,36,1.0
1327,feminists can not,36,1.0
1328,can extrapolate from,36,1.0
1329,why did sally,36,1.0
1330,kicked the bucket,36,1.0
1331,i have sex,36,1.0
1332,myself out now,36,1.0
1333,between a gay,36,1.0
1334,a kid with,36,1.0
1335,you want about,36,1.0
1336,then it dawned,36,1.0
1337,but john came,36,1.0
1338,is the easiest,36,1.0
1339,you cross the,36,1.0
1340,to date a,36,1.0
1341,you are good,36,1.0
1342,all fun and,36,1.0
1343,did one tampon,36,1.0
1344,guy goes to,36,1.0
1345,is never gon,36,1.0
1346,the black man,36,1.0
1347,can finish a,36,1.0
1348,i just fly,36,1.0
1349,priest a rabbi,36,1.0
1350,fw fw fw,36,1.0
1351,to a zoo,35,1.0
1352,a gay dinosaur,35,1.0
1353,and a cymbal,35,1.0
1354,guy who got,35,1.0
1355,man a fire,35,1.0
1356,a fire and,35,1.0
1357,sex it is,35,1.0
1358,my parents are,35,1.0
1359,my car is,35,1.0
1360,does a woman,35,1.0
1361,between a hippo,35,1.0
1362,a hippo and,35,1.0
1363,hippo and a,35,1.0
1364,and a lifetime,35,1.0
1365,the fresh prints,35,1.0
1366,letters of the,35,1.0
1367,new years resolution,35,1.0
1368,i threw a,35,1.0
1369,not black people,35,1.0
1370,joke what did,35,1.0
1371,my dad told,35,1.0
1372,dad told me,35,1.0
1373,you go on,35,1.0
1374,do you drive,35,1.0
1375,i was your,35,1.0
1376,was a salted,35,1.0
1377,know when your,35,1.0
1378,and a mexican,35,1.0
1379,they can both,35,1.0
1380,can not swim,35,1.0
1381,at work today,35,1.0
1382,you will go,35,1.0
1383,punchline in the,35,1.0
1384,where did you,35,1.0
1385,with a boner,35,1.0
1386,no arms knock,35,1.0
1387,what did hitler,35,1.0
1388,too lazy to,35,1.0
1389,my phone is,35,1.0
1390,a chick pea,35,1.0
1391,many potatoes does,35,1.0
1392,potatoes does it,35,1.0
1393,first date me,35,1.0
1394,they just beat,35,1.0
1395,take things literally,35,1.0
1396,idiot called it,35,1.0
1397,two muffins are,35,1.0
1398,call a cheap,35,1.0
1399,credit to my,35,1.0
1400,q how does,35,1.0
1401,fish in a,35,1.0
1402,john came fifth,35,1.0
1403,sir this is,35,1.0
1404,is twenty of,35,1.0
1405,bartender asks what,35,1.0
1406,my grandfather died,35,1.0
1407,say it out,35,1.0
1408,do you call,8751,0.9998857404021938
1409,you call a,6003,0.9998334443704198
1410,did you hear,2772,0.999639379733141
1411,does it take,2255,0.999113867966327
1412,what does a,1082,0.9990766389658357
1413,why did the,3232,0.9990726429675425
1414,hear about the,2152,0.9990714948932219
1415,who is there,1037,0.9990366088631984
1416,a light bulb,912,0.9989047097480832
1417,you get when,896,0.9988851727982163
1418,into a bar,2676,0.9988801791713325
1419,say to the,1759,0.9988642816581488
1420,i like my,1732,0.9988465974625144
1421,get when you,824,0.9987878787878788
1422,is the difference,4477,0.9986616105286639
1423,it take to,2197,0.9986363636363637
1424,walks into a,2153,0.99860853432282
1425,a bar and,629,0.9984126984126984
1426,do you make,467,0.9978632478632479
1427,a joke about,456,0.9978118161925602
1428,difference between a,2663,0.9977519670288497
1429,whats the difference,400,0.9975062344139651
1430,cross the road,779,0.9974391805377721
1431,in a light,374,0.9973333333333333
1432,you hear about,2222,0.9973070017953322
1433,did the chicken,327,0.9969512195121951
1434,have in common,1694,0.9964705882352941
1435,difference between an,279,0.9964285714285714
1436,what do you,11052,0.99639379733141
1437,say to his,269,0.9962962962962963
1438,why does not,268,0.9962825278810409
1439,types of people,257,0.9961240310077519
1440,do you say,251,0.996031746031746
1441,walk into a,960,0.995850622406639
1442,a black guy,240,0.995850622406639
1443,why was the,654,0.9954337899543378
1444,you heard about,213,0.9953271028037384
1445,do not serve,212,0.9953051643192489
1446,you call it,407,0.9951100244498777
1447,the hardest part,200,0.9950248756218906
1448,can you tell,395,0.9949622166246851
1449,asked me if,197,0.9949494949494949
1450,best thing about,196,0.9949238578680203
1451,do you get,1707,0.9947552447552448
1452,q why did,184,0.9945945945945946
1453,a man a,181,0.9945054945054945
1454,i bought a,179,0.9944444444444445
1455,life is like,178,0.994413407821229
1456,i hate when,177,0.9943820224719101
1457,is black and,175,0.9943181818181818
1458,why are there,174,0.9942857142857143
1459,i will show,173,0.9942528735632183
1460,you call the,332,0.9940119760479041
1461,change a light,494,0.993963782696177
1462,one is a,323,0.9938461538461538
1463,the difference between,5114,0.9937815779246016
1464,other day i,154,0.9935483870967742
1465,why can not,768,0.9935316946959897
1466,to change a,1067,0.9934823091247672
1467,why did not,457,0.9934782608695653
1468,call a man,152,0.9934640522875817
1469,walks up to,150,0.9933774834437086
1470,says to the,298,0.9933333333333333
1471,you know why,286,0.9930555555555556
1472,me i have,142,0.993006993006993
1473,best part about,142,0.993006993006993
1474,is brown and,141,0.9929577464788732
1475,not know i,139,0.9928571428571429
1476,friend told me,138,0.9928057553956835
1477,why do they,135,0.9926470588235294
1478,walked into a,267,0.9925650557620818
1479,is a dog,131,0.9924242424242424
1480,how does a,391,0.9923857868020305
1481,asked if i,129,0.9923076923076923
1482,q how do,129,0.9923076923076923
1483,just found out,129,0.9923076923076923
1484,off a cliff,126,0.9921259842519685
1485,road to get,126,0.9921259842519685
1486,a man goes,126,0.9921259842519685
1487,do they call,125,0.9920634920634921
1488,what is the,7673,0.9919844861021332
1489,can i get,117,0.9915254237288136
1490,i just saw,116,0.9914529914529915
1491,why do not,922,0.9913978494623656
1492,q why do,112,0.9911504424778761
1493,i would tell,110,0.990990990990991
1494,what is worse,219,0.9909502262443439
1495,tell you a,108,0.9908256880733946
1496,and now im,106,0.9906542056074766
1497,do you keep,104,0.9904761904761905
1498,favorite type of,103,0.9903846153846154
1499,me that is,103,0.9903846153846154
1500,i asked a,103,0.9903846153846154
1501,i just found,102,0.9902912621359223
1502,do you stop,101,0.9901960784313726
1503,i guess you,200,0.9900990099009901
1504,my friend told,100,0.9900990099009901
1505,tell if a,99,0.99
1506,a girl is,98,0.98989898989899
1507,me to stop,97,0.9897959183673469
1508,on your face,97,0.9897959183673469
1509,called me a,96,0.9896907216494846
1510,one time i,96,0.9896907216494846
1511,why should not,96,0.9896907216494846
1512,turns to the,190,0.9895833333333334
1513,wan na go,95,0.9895833333333334
1514,a bar with,95,0.9895833333333334
1515,and asks for,95,0.9895833333333334
1516,in your mouth,95,0.9895833333333334
1517,donald trump is,188,0.9894736842105263
1518,did not the,279,0.9893617021276596
1519,hardest part of,93,0.9893617021276596
1520,what is a,1558,0.9892063492063492
1521,i will see,182,0.9891304347826086
1522,you find a,91,0.9891304347826086
1523,did you know,544,0.9890909090909091
1524,how did the,452,0.9890590809628009
1525,is a joke,90,0.989010989010989
1526,thing about being,90,0.989010989010989
1527,your mom is,89,0.9888888888888889
1528,do you kill,88,0.9887640449438202
1529,with a pencil,88,0.9887640449438202
1530,the light bulb,88,0.9887640449438202
1531,a fish and,87,0.9886363636363636
1532,just told me,87,0.9886363636363636
1533,why does the,173,0.9885714285714285
1534,on my door,86,0.9885057471264368
1535,happened when the,85,0.9883720930232558
1536,when do we,85,0.9883720930232558
1537,im sorry i,85,0.9883720930232558
1538,it when you,169,0.9883040935672515
1539,do when he,84,0.9882352941176471
1540,with a girl,84,0.9882352941176471
1541,how do you,3519,0.9882055602358888
1542,my wife is,332,0.9880952380952381
1543,you kill a,82,0.9879518072289156
1544,my wife asked,82,0.9879518072289156
1545,why do the,81,0.9878048780487805
1546,a black person,81,0.9878048780487805
1547,and white and,81,0.9878048780487805
1548,what does the,242,0.9877551020408163
1549,q what do,320,0.9876543209876543
1550,do you know,1199,0.9876441515650741
1551,what is an,159,0.9875776397515528
1552,have you seen,159,0.9875776397515528
1553,donald trump and,79,0.9875
1554,how is a,79,0.9875
1555,they both have,78,0.9873417721518988
1556,those who understand,78,0.9873417721518988
1557,what should you,78,0.9873417721518988
1558,there once was,77,0.9871794871794872
1559,moment when you,77,0.9871794871794872
1560,i die i,77,0.9871794871794872
1561,did not you,77,0.9871794871794872
1562,to the ball,77,0.9871794871794872
1563,now i have,153,0.9870967741935484
1564,last night i,229,0.9870689655172413
1565,it is me,76,0.987012987012987
1566,with my wife,76,0.987012987012987
1567,michael j fox,76,0.987012987012987
1568,are you sure,76,0.987012987012987
1569,i told my,300,0.9868421052631579
1570,in the freezer,75,0.9868421052631579
1571,wondering if there,75,0.9868421052631579
1572,you put a,75,0.9868421052631579
1573,are walking down,74,0.9866666666666667
1574,a gay man,74,0.9866666666666667
1575,would you get,74,0.9866666666666667
1576,the doctor says,74,0.9866666666666667
1577,in my car,73,0.9864864864864865
1578,do if you,73,0.9864864864864865
1579,i call it,73,0.9864864864864865
1580,doll on the,73,0.9864864864864865
1581,you do if,145,0.9863945578231292
1582,can not a,72,0.9863013698630136
1583,you hear a,72,0.9863013698630136
1584,you know your,72,0.9863013698630136
1585,you could say,215,0.9862385321100917
1586,my wife was,71,0.9861111111111112
1587,then i realized,71,0.9861111111111112
1588,shades of grey,71,0.9861111111111112
1589,i asked my,282,0.986013986013986
1590,you do with,70,0.9859154929577465
1591,i put my,70,0.9859154929577465
1592,is white and,70,0.9859154929577465
1593,up with me,70,0.9859154929577465
1594,when is a,70,0.9859154929577465
1595,if i ever,138,0.9857142857142858
1596,im starting to,69,0.9857142857142858
1597,then it hit,69,0.9857142857142858
1598,why would you,69,0.9857142857142858
1599,she got to,69,0.9857142857142858
1600,wish i was,69,0.9857142857142858
1601,you hear the,274,0.9856115107913669
1602,the worst part,205,0.9855769230769231
1603,if i wanted,136,0.9855072463768116
1604,did you see,68,0.9855072463768116
1605,turns out it,68,0.9855072463768116
1606,i just bought,67,0.9852941176470589
1607,you do when,132,0.9850746268656716
1608,a blind man,132,0.9850746268656716
1609,you are gay,66,0.9850746268656716
1610,want to die,66,0.9850746268656716
1611,so good at,66,0.9850746268656716
1612,man with no,66,0.9850746268656716
1613,really good at,66,0.9850746268656716
1614,is the opposite,131,0.9849624060150376
1615,got hit by,65,0.9848484848484849
1616,gon na make,65,0.9848484848484849
1617,says what is,65,0.9848484848484849
1618,thought to myself,64,0.9846153846153847
1619,you know a,64,0.9846153846153847
1620,sex is like,63,0.984375
1621,the blind man,62,0.9841269841269841
1622,why was not,62,0.9841269841269841
1623,invented a new,62,0.9841269841269841
1624,i put a,61,0.9838709677419355
1625,once told me,61,0.9838709677419355
1626,not tell me,61,0.9838709677419355
1627,a washing machine,61,0.9838709677419355
1628,i wonder what,61,0.9838709677419355
1629,was gon na,121,0.983739837398374
1630,i only have,60,0.9836065573770492
1631,not worry they,60,0.9836065573770492
1632,im about to,60,0.9836065573770492
1633,how long does,60,0.9836065573770492
1634,and says hey,60,0.9836065573770492
1635,are sitting in,60,0.9836065573770492
1636,do you need,179,0.9835164835164835
1637,a girl with,118,0.9833333333333333
1638,take a joke,59,0.9833333333333333
1639,when i do,117,0.9831932773109243
1640,you hear that,117,0.9831932773109243
1641,just got a,116,0.9830508474576272
1642,the hell is,58,0.9830508474576272
1643,would like a,58,0.9830508474576272
1644,my name is,115,0.9829059829059829
1645,im gon na,344,0.9828571428571429
1646,walking down the,229,0.9828326180257511
1647,go to sleep,57,0.9827586206896551
1648,you have probably,57,0.9827586206896551
1649,is not funny,57,0.9827586206896551
1650,the similarity between,57,0.9827586206896551
1651,says you are,57,0.9827586206896551
1652,i heard that,57,0.9827586206896551
1653,not worry i,57,0.9827586206896551
1654,goes to a,113,0.9826086956521739
1655,do not wan,56,0.9824561403508771
1656,is long and,56,0.9824561403508771
1657,the man replies,56,0.9824561403508771
1658,are under a,56,0.9824561403508771
1659,thought of this,56,0.9824561403508771
1660,a new word,56,0.9824561403508771
1661,one night stand,56,0.9824561403508771
1662,chuck norris can,56,0.9824561403508771
1663,can not eat,56,0.9824561403508771
1664,a job interview,56,0.9824561403508771
1665,you are like,56,0.9824561403508771
1666,an elephant and,56,0.9824561403508771
1667,would you like,222,0.9823008849557522
1668,when i die,111,0.9823008849557522
1669,in the shower,165,0.9821428571428571
1670,when people ask,55,0.9821428571428571
1671,was a dog,55,0.9821428571428571
1672,how to drive,55,0.9821428571428571
1673,in the oven,109,0.9819819819819819
1674,to eat a,54,0.9818181818181818
1675,do you give,54,0.9818181818181818
1676,you give a,54,0.9818181818181818
1677,saw a sign,54,0.9818181818181818
1678,it only takes,54,0.9818181818181818
1679,would not pay,54,0.9818181818181818
1680,for a book,54,0.9818181818181818
1681,are what you,54,0.9818181818181818
1682,why is the,214,0.981651376146789
1683,what did they,53,0.9814814814814815
1684,he orders a,53,0.9814814814814815
1685,how much i,53,0.9814814814814815
1686,one but it,53,0.9814814814814815
1687,did you just,53,0.9814814814814815
1688,he is dead,53,0.9814814814814815
1689,sister in the,53,0.9814814814814815
1690,call a woman,105,0.9813084112149533
1691,if you ever,104,0.9811320754716981
1692,your wife is,104,0.9811320754716981
1693,when she got,104,0.9811320754716981
1694,last night she,52,0.9811320754716981
1695,you get it,52,0.9811320754716981
1696,someone told me,52,0.9811320754716981
1697,i was watching,52,0.9811320754716981
1698,you are too,52,0.9811320754716981
1699,i walked into,52,0.9811320754716981
1700,to the other,1142,0.9810996563573883
1701,i lost my,153,0.9807692307692307
1702,you said you,51,0.9807692307692307
1703,i get it,51,0.9807692307692307
1704,are there so,51,0.9807692307692307
1705,priest and a,101,0.9805825242718447
1706,was afraid of,101,0.9805825242718447
1707,at the gym,101,0.9805825242718447
1708,i think my,150,0.9803921568627451
1709,two types of,100,0.9803921568627451
1710,so what do,50,0.9803921568627451
1711,all over my,50,0.9803921568627451
1712,not you hate,50,0.9803921568627451
1713,dressed as a,50,0.9803921568627451
1714,it was tense,50,0.9803921568627451
1715,to brag but,50,0.9803921568627451
1716,me i will,98,0.98
1717,i see you,49,0.98
1718,why do i,49,0.98
1719,i was wondering,49,0.98
1720,wan na get,49,0.98
1721,wow that is,49,0.98
1722,were walking down,49,0.98
1723,q did you,49,0.98
1724,in the fridge,49,0.98
1725,can not handle,49,0.98
1726,are you a,244,0.9799196787148594
1727,why do people,146,0.9798657718120806
1728,ground up and,48,0.9795918367346939
1729,in my basement,48,0.9795918367346939
1730,two kinds of,48,0.9795918367346939
1731,why are all,48,0.9795918367346939
1732,you i will,48,0.9795918367346939
1733,you ever seen,48,0.9795918367346939
1734,he will eat,48,0.9795918367346939
1735,the other you,48,0.9795918367346939
1736,it is gon,48,0.9795918367346939
1737,found out i,48,0.9795918367346939
1738,i saw a,430,0.979498861047836
1739,i wan na,191,0.9794871794871794
1740,do you do,376,0.9791666666666666
1741,to the zoo,94,0.9791666666666666
1742,me what is,94,0.9791666666666666
1743,when i said,94,0.9791666666666666
1744,why will not,47,0.9791666666666666
1745,a guy in,47,0.9791666666666666
1746,out he was,47,0.9791666666666666
1747,i will call,47,0.9791666666666666
1748,eat for a,47,0.9791666666666666
1749,do you start,47,0.9791666666666666
1750,not you ever,47,0.9791666666666666
1751,not let me,47,0.9791666666666666
1752,you make a,328,0.9791044776119403
1753,have you ever,327,0.9790419161676647
1754,did you get,140,0.9790209790209791
1755,is the hardest,186,0.9789473684210527
1756,you know how,231,0.9788135593220338
1757,too far out,46,0.9787234042553191
1758,reading a book,46,0.9787234042553191
1759,black people have,46,0.9787234042553191
1760,at the grocery,46,0.9787234042553191
1761,a big plus,46,0.9787234042553191
1762,i hate you,46,0.9787234042553191
1763,asked me what,137,0.9785714285714285
1764,how much does,91,0.978494623655914
1765,on my face,135,0.9782608695652174
1766,guy with a,90,0.9782608695652174
1767,im so sorry,90,0.9782608695652174
1768,asks for a,90,0.9782608695652174
1769,the guy in,45,0.9782608695652174
1770,like a glove,45,0.9782608695652174
1771,walked in on,45,0.9782608695652174
1772,know you can,45,0.9782608695652174
1773,they got in,45,0.9782608695652174
1774,i just read,45,0.9782608695652174
1775,they are calling,45,0.9782608695652174
1776,up your ass,45,0.9782608695652174
1777,talking to me,45,0.9782608695652174
1778,looks at him,45,0.9782608695652174
1779,you never see,45,0.9782608695652174
1780,got a new,89,0.978021978021978
1781,my friend is,133,0.9779411764705882
1782,of dead babies,44,0.9777777777777777
1783,me want to,44,0.9777777777777777
1784,and now my,44,0.9777777777777777
1785,know if a,44,0.9777777777777777
1786,a park bench,44,0.9777777777777777
1787,ever heard of,44,0.9777777777777777
1788,because if it,44,0.9777777777777777
1789,mother is day,44,0.9777777777777777
1790,chicken or the,44,0.9777777777777777
1791,could say i,44,0.9777777777777777
1792,is so bad,44,0.9777777777777777
1793,how can you,474,0.977319587628866
1794,where did the,86,0.9772727272727273
1795,a yeast infection,43,0.9772727272727273
1796,a loaf of,43,0.9772727272727273
1797,bus stop and,43,0.9772727272727273
1798,me i know,43,0.9772727272727273
1799,have to walk,43,0.9772727272727273
1800,you get an,43,0.9772727272727273
1801,how to tell,43,0.9772727272727273
1802,me how i,43,0.9772727272727273
1803,because every time,43,0.9772727272727273
1804,not you mean,43,0.9772727272727273
1805,of people those,43,0.9772727272727273
1806,you make an,43,0.9772727272727273
1807,play on words,43,0.9772727272727273
1808,you put your,43,0.9772727272727273
1809,god does not,43,0.9772727272727273
1810,i hate people,43,0.9772727272727273
1811,if you say,43,0.9772727272727273
1812,to the doctor,171,0.9771428571428571
1813,know you are,211,0.9768518518518519
1814,to hear a,211,0.9768518518518519
1815,i just got,210,0.9767441860465116
1816,i got my,84,0.9767441860465116
1817,girl with a,84,0.9767441860465116
1818,can you find,42,0.9767441860465116
1819,have a girlfriend,42,0.9767441860465116
1820,i was sitting,42,0.9767441860465116
1821,on a bike,42,0.9767441860465116
1822,it is weird,42,0.9767441860465116
1823,adam and eve,42,0.9767441860465116
1824,thing i have,42,0.9767441860465116
1825,people those who,42,0.9767441860465116
1826,went to an,42,0.9767441860465116
1827,or the egg,42,0.9767441860465116
1828,it is raining,42,0.9767441860465116
1829,why does it,42,0.9767441860465116
1830,i started a,42,0.9767441860465116
1831,a little behind,42,0.9767441860465116
1832,dying to get,42,0.9767441860465116
1833,stop and a,42,0.9767441860465116
1834,about being a,125,0.9765625
1835,because if they,83,0.9764705882352941
1836,i asked her,83,0.9764705882352941
1837,man on fire,41,0.9761904761904762
1838,was too far,41,0.9761904761904762
1839,a man from,41,0.9761904761904762
1840,my penis is,41,0.9761904761904762
1841,wife said she,41,0.9761904761904762
1842,is a terrible,41,0.9761904761904762
1843,on my head,41,0.9761904761904762
1844,i got in,41,0.9761904761904762
1845,what is up,81,0.9759036144578314
1846,in the bible,40,0.975609756097561
1847,i can hear,40,0.975609756097561
1848,then i remembered,40,0.975609756097561
1849,once you go,40,0.975609756097561
1850,the count of,40,0.975609756097561
1851,run over by,40,0.975609756097561
1852,have you tried,40,0.975609756097561
1853,or are you,40,0.975609756097561
1854,q why is,40,0.975609756097561
1855,of my car,40,0.975609756097561
1856,the look on,40,0.975609756097561
1857,the chicken or,40,0.975609756097561
1858,a dog and,40,0.975609756097561
1859,i guess they,40,0.975609756097561
1860,escaped from prison,40,0.975609756097561
1861,is still dark,40,0.975609756097561
1862,it dawned on,40,0.975609756097561
1863,when a girl,40,0.975609756097561
1864,are you from,40,0.975609756097561
1865,i changed my,40,0.975609756097561
1866,you have my,40,0.975609756097561
1867,in the jaw,40,0.975609756097561
1868,and call it,40,0.975609756097561
1869,when you put,119,0.9754098360655737
1870,was a man,79,0.9753086419753086
1871,the other and,197,0.9752475247524752
1872,a drug dealer,118,0.9752066115702479
1873,what do we,118,0.9752066115702479
1874,is the name,78,0.975
1875,smith in the,39,0.975
1876,police are looking,39,0.975
1877,i got arrested,39,0.975
1878,the road it,39,0.975
1879,is blue and,39,0.975
1880,be here all,39,0.975
1881,well i guess,39,0.975
1882,is a crime,39,0.975
1883,hide and seek,39,0.975
